indx,city,tmpd,dptp,date,pm25tmean2,pm10tmean2,o3tmean2,no2tmean2
72,chic,34,33.125,3/13/87,NA,47,22.47916667,31.55555556
73,chic,37,33,3/14/87,NA,49,17.72916667,27.65277778
74,chic,35,24.5,3/15/87,NA,NA,36.89583333,18.03472222
75,chic,37.5,17.875,3/16/87,NA,27,36.37228261,22.42361111
76,chic,38.5,19.375,3/17/87,NA,55,27.8125,25.98611111
77,chic,39.5,30.25,3/18/87,NA,63,18.66666667,32.20779915
78,chic,41.5,26.125,3/19/87,NA,32,31.67559524,33.29601449
79,chic,43,16.625,3/20/87,NA,28,36.625,45.95833333
80,chic,43.5,22.5,3/21/87,NA,40,38.20833333,43.90307971
81,chic,48,32.375,3/22/87,NA,37.85714286,37.66666667,36.23958333
82,chic,53.5,35.25,3/23/87,NA,70,31.45416667,33.73864734
83,chic,57.5,46.125,3/24/87,NA,58,25.625,30.55555556
84,chic,45,40.125,3/25/87,NA,14,14.875,23.20454546
85,chic,45,40.25,3/26/87,NA,43,15.11742424,23.49368687
86,chic,43,38.5,3/27/87,NA,47,16.4375,32.31502525
87,chic,46,35,3/28/87,NA,34.5,20.10416667,31.18055556
88,chic,39.5,30.125,3/29/87,NA,37,20.97222222,22.34027778
89,chic,29,12.875,3/30/87,NA,27,30.4375,19.65567633
90,chic,30,19,3/31/87,NA,43,24.0448718,24.61111111
91,chic,41.5,22.875,4/1/87,NA,36,21.453125,19.29861111
92,chic,29.5,14.625,4/2/87,NA,44,22.56634964,22.03653382
93,chic,28,17.375,4/3/87,NA,22.42857143,16.86979167,35.4814326
94,chic,35.5,17.125,4/4/87,NA,26,28.390625,21.28125
95,chic,43.5,33,4/5/87,NA,18,36.03125,12.19097222
96,chic,50,21.25,4/6/87,NA,19,31.80208333,19.85574495
97,chic,49.5,30.875,4/7/87,NA,28,25.49479167,28.24621212
98,chic,40,31.375,4/8/87,NA,19,21.01041667,28.99124396
99,chic,50,28.5,4/9/87,NA,78.28571429,15.40104167,57.52542271
100,chic,59.5,44.875,4/10/87,NA,69,21.859375,39.35416667
101,chic,51,45.625,4/11/87,NA,24,28.97395833,23.14583333
102,chic,49.5,43.125,4/12/87,NA,37,25.67857143,26.02083333
103,chic,48,47.25,4/13/87,NA,47,17.76785714,37.9324495
104,chic,52.5,51.5,4/14/87,NA,33,13.24404762,35.72222222
105,chic,51.5,50.125,4/15/87,NA,30,17.14285714,32.02006478
106,chic,54,49.25,4/16/87,NA,28,22.10714286,30.75
107,chic,57.5,47,4/17/87,NA,43,19.30952381,44.20833333
108,chic,61.5,49.875,4/18/87,NA,106,31.52976191,55.41666667
109,chic,64,53,4/19/87,NA,NA,32.83928571,45.15972222
110,chic,71,55.75,4/20/87,NA,55,41.390625,40.53472222
111,chic,56,39,4/21/87,NA,36.2,20.46875,19.17783816
112,chic,47,45.625,4/22/87,NA,28,9.078125,23.23421717
113,chic,52,43.75,4/23/87,NA,26,10.0946558,23.49305556
114,chic,49,30.75,4/24/87,NA,16,27.57291667,20.6611564
115,chic,51,32.5,4/25/87,NA,30,28.0625,27.76666667
116,chic,57,33.875,4/26/87,NA,58,33.14583333,33.45833333
117,chic,56.5,31.625,4/27/87,NA,37.33333333,35.92760417,27.05208333
118,chic,53.5,28.625,4/28/87,NA,72,22.64583333,32.03653382
119,chic,64.5,34.625,4/29/87,NA,61,34.85227273,24.10606061
120,chic,46,16.625,4/30/87,NA,19,35.48958333,18.32057179
121,chic,53.5,39,5/1/87,NA,66,19.5615942,45.94444444
122,chic,53,47.375,5/2/87,NA,30,24.18452381,31.50833333
123,chic,45,35,5/3/87,NA,20.28571429,27.20238095,22.11666667
124,chic,48,29.375,5/4/87,NA,26,31.22435897,23.02617521
125,chic,50.5,32.625,5/5/87,NA,60,23.4375,39.60921717
126,chic,58,40.125,5/6/87,NA,NA,32.37057395,51.28535354
127,chic,59.5,40.875,5/7/87,NA,41,30.18931159,29.51828063
128,chic,59,33.375,5/8/87,NA,54,16.80482456,38.77412281
129,chic,69.5,43.75,5/9/87,NA,56.16666667,42.796875,22.15277778
130,chic,74.5,51.5,5/10/87,NA,NA,43.0125,20.17361111
131,chic,71,58,5/11/87,NA,81,44.98627451,24.22222222
132,chic,51.5,32.75,5/12/87,NA,12,25.33854167,18.01767677
133,chic,59,53,5/13/87,NA,20,26.55910326,35.52335859
134,chic,69,53.375,5/14/87,NA,NA,38.84895833,29.54513889
135,chic,56.5,33.875,5/15/87,NA,21.57142857,24.02083333,19.02335859
136,chic,62.5,42.625,5/16/87,NA,47,31.67553593,28.1772343
137,chic,70.5,63.625,5/17/87,NA,63,50.44814312,22.87952899
138,chic,66.5,57.625,5/18/87,NA,NA,24.83367301,27.20138889
139,chic,67.5,61.125,5/19/87,NA,42,26.07217262,28.0517716
140,chic,66.5,59.75,5/20/87,NA,47,15.27472826,21.79198232
141,chic,74,66.75,5/21/87,NA,46.16666667,33.25181159,26.69791667
142,chic,61.5,49.75,5/22/87,NA,NA,12.32065217,12.74214976
143,chic,51,45.625,5/23/87,NA,13,10.578125,11.71401515
144,chic,50.5,45.125,5/24/87,NA,NA,18.984375,11.67361111
145,chic,57.5,62.875,5/25/87,NA,50,13.00892857,19.25694444
146,chic,73,67.625,5/26/87,NA,28,29.87121212,26.81944444
147,chic,78.5,67.375,5/27/87,NA,40.6,30.546875,25.15810277
148,chic,78.5,65.75,5/28/87,NA,49,28.91222826,32.13043478
149,chic,78.5,67.125,5/29/87,NA,50,26.13020833,36.05616883
150,chic,76,65.625,5/30/87,NA,35,21.859375,33.56666667
151,chic,76,60.125,5/31/87,NA,32,31.44345238,22.20833333
152,chic,74.5,68.5,6/1/87,NA,30,34.1875,28.34166667
153,chic,72,64.75,6/2/87,NA,33.66666667,18.33854167,37.35
154,chic,69,47.25,6/3/87,NA,42,23.31336051,21.74305556
155,chic,63,45,6/4/87,NA,45,20.42722744,25.61111111
156,chic,70,54.875,6/5/87,NA,61,33.19270833,35.62752525
157,chic,71,54.625,6/6/87,NA,57,43.74479167,34.16792929
158,chic,77.5,58.125,6/7/87,NA,46,50.79166667,15.73958333
159,chic,74.5,60.25,6/8/87,NA,51.5,49.21218297,23.10763889
160,chic,57.5,41.125,6/9/87,NA,15,29.61118659,15.29930556
161,chic,61,51,6/10/87,NA,50,28.7330163,29.29861111
162,chic,72.5,68.75,6/11/87,NA,46,27.74611742,32.45517677
163,chic,80,62,6/12/87,NA,41,29.2907691,24.24589647
164,chic,77,62,6/13/87,NA,73,39.65104167,35.425
165,chic,83,68.5,6/14/87,NA,43.66666667,45.421875,25.99583333
166,chic,73.5,48.5,6/15/87,NA,28,33.75407609,22.20591787
167,chic,75,52.875,6/16/87,NA,46,33.20138889,30.63263889
168,chic,77,61,6/17/87,NA,71,54.96189182,47.92542271
169,chic,80.5,62.75,6/18/87,NA,90,62.9696558,43.81666667
170,chic,77.5,61.375,6/19/87,NA,80,47.26891447,51.175
171,chic,77,73.625,6/20/87,NA,59.83333333,45.69791667,32.875
172,chic,76,71.125,6/21/87,NA,42,32.77827381,20.38194444
173,chic,67,59,6/22/87,NA,52,25.05393489,25.23243464
174,chic,72.5,57.75,6/23/87,NA,49,32.21845238,39.97916667
175,chic,76,65.75,6/24/87,NA,63,49.08020833,42.87122153
176,chic,70.5,62,6/25/87,NA,53,33.87865803,29.28490592
177,chic,69,50.75,6/26/87,NA,31.8,20.46875,20.69791667
178,chic,64.5,48.25,6/27/87,NA,36,21.61979167,15.80208333
179,chic,72,53.625,6/28/87,NA,34,31.96376812,15.93532609
180,chic,72.5,66,6/29/87,NA,43,27.78125,24.575
181,chic,70.5,63,6/30/87,NA,43,18.46875,28.15277778
182,chic,68.5,60.625,7/1/87,NA,22,32.296875,20.01857864
183,chic,71,60.25,7/2/87,NA,45.5,36.26704546,27.24611244
184,chic,77.5,60.375,7/3/87,NA,48,42.91666667,18.78472222
185,chic,72.5,59.5,7/4/87,NA,24,31.89583333,13.87152778
186,chic,72.5,69.125,7/5/87,NA,NA,22.63020833,16.26041667
187,chic,80,69,7/6/87,NA,33,31.11184211,22.66022063
188,chic,80,69.125,7/7/87,NA,NA,34.34261775,23.08333333
189,chic,80.5,69.25,7/8/87,NA,38,30.85167573,23.01479469
190,chic,80.5,67.625,7/9/87,NA,31,24.94791667,20.15782828
191,chic,80,67.625,7/10/87,NA,33,23.38020833,21.625
192,chic,80,73.5,7/11/87,NA,79,29.125,16.54861111
193,chic,79.5,65.5,7/12/87,NA,47,29.640625,13.01736111
194,chic,64.5,58.75,7/13/87,NA,33,9.691220238,18.66666667
195,chic,67,53,7/14/87,NA,21.4,21.86383929,20.5625
196,chic,63,54.375,7/15/87,NA,17,23.18229167,20.87910354
197,chic,65.5,58.625,7/16/87,NA,28,31.52083333,19.96142226
198,chic,78,67,7/17/87,NA,39,42.87276786,25.00099206
199,chic,79.5,68.375,7/18/87,NA,51,47.79166667,19.19097222
200,chic,84.5,73.625,7/19/87,NA,72,47.05208333,13.37152778
201,chic,81.5,67.625,7/20/87,NA,65.42857143,40.49895833,18.45833333
202,chic,81,71.25,7/21/87,NA,58,58.16791214,36.6280107
203,chic,80.5,69.625,7/22/87,NA,98,45.2827381,36.35416667
204,chic,82,70,7/23/87,NA,117,59.15625,25.98106061
205,chic,83,71.25,7/24/87,NA,79,35.69021739,23.21322464
206,chic,84.5,71.125,7/25/87,NA,53,43.81547619,22.65416667
207,chic,78.5,66.25,7/26/87,NA,29.5,27.77380952,20.00416667
208,chic,71,62.625,7/27/87,NA,32,15.77380952,30.75416667
209,chic,72.5,63.25,7/28/87,NA,37,20.26785714,29.61590909
210,chic,78,70.25,7/29/87,NA,25,25.02901161,33.51071429
211,chic,79.5,72.375,7/30/87,NA,75,50.36904762,27.39166667
212,chic,80.5,75.75,7/31/87,NA,48,38.41718427,28.42949879
213,chic,87,75.25,8/1/87,NA,57.57142857,40.23214286,21.69444444
214,chic,86,73.875,8/2/87,NA,46,46.65476191,15.48611111
215,chic,83,68.625,8/3/87,NA,54,30.9745671,29.80555556
216,chic,75,60.625,8/4/87,NA,21,20.54927885,14.28819444
217,chic,72,55.75,8/5/87,NA,15,20.29166667,12.78472222
218,chic,72,62.125,8/6/87,NA,50,29.57664462,32.69920635
219,chic,79.5,67.375,8/7/87,NA,51.28571429,45.32291667,27.65277778
220,chic,73.5,73.625,8/8/87,NA,56,23.03125,24.60069444
221,chic,72.5,64.125,8/9/87,NA,29,26.75520833,10.30555556
222,chic,71,63.125,8/10/87,NA,24,29.41071429,20.02380952
223,chic,74.5,61.875,8/11/87,NA,41,33.84375,25.66666667
224,chic,76,63.625,8/12/87,NA,80,37.08854167,33.64583333
225,chic,75.5,69.5,8/13/87,NA,63.4,36.19791667,36.48218599
226,chic,74,74.625,8/14/87,NA,49.5,24.23284314,18.59573413
227,chic,79.5,75.875,8/15/87,NA,41,33.375,13.15926932
228,chic,80,73.875,8/16/87,NA,44.5,32.27295918,9.338293651
229,chic,73.5,60.25,8/17/87,NA,39,26.67633929,14.92708333
230,chic,69.5,64.25,8/18/87,NA,48,14.05877976,31.39371981
231,chic,70,56.75,8/19/87,NA,31.66666667,18.38888889,23.34564394
232,chic,70,62.625,8/20/87,NA,49,30.51875,26.72916667
233,chic,76,72.5,8/21/87,NA,43,37.94270833,20.90593434
234,chic,71.5,54.625,8/22/87,NA,32,23.86458333,12.90972222
235,chic,63,49,8/23/87,NA,24,17.72780797,14.42777778
236,chic,61.5,51.375,8/24/87,NA,43,12.59498355,21.58541667
237,chic,59,58,8/25/87,NA,36,6.665625,30.63194444
238,chic,62,63.25,8/26/87,NA,50,8.207521645,22.98333333
239,chic,63.5,61.375,8/27/87,NA,20,13.71875,19.69002525
240,chic,63.5,54.625,8/28/87,NA,32,21.94270833,22.04583333
241,chic,65.5,57,8/29/87,NA,NA,18.15625,26.39930556
242,chic,72,59.625,8/30/87,NA,35,22.62273551,16.85940931
243,chic,62,46.5,8/31/87,NA,25,15.921875,18.11829279
244,chic,64,49.5,9/1/87,NA,38.5,17.93229167,22.52083333
245,chic,61.5,50.125,9/2/87,NA,17,21.16145833,15.74652778
246,chic,60.5,49.25,9/3/87,NA,24,20.30208333,22.48106453
247,chic,69,59.125,9/4/87,NA,NA,31.33854167,37.31723485
248,chic,73,57.375,9/5/87,NA,NA,46.05729167,36.46527778
249,chic,75,66.25,9/6/87,NA,60.66666667,38.19791667,32.51041667
250,chic,70.5,65.625,9/7/87,NA,NA,22.78691123,21.3125
251,chic,72,63.5,9/8/87,NA,NA,25.40104167,31.86805556
252,chic,68.5,56.125,9/9/87,NA,NA,18.83333333,22.88541667
253,chic,67.5,57.75,9/10/87,NA,NA,26.50520833,27.68689614
254,chic,69,57,9/11/87,NA,NA,22.44021739,31.0307971
255,chic,68,50.375,9/12/87,NA,33.5,15.8125,23.50347222
256,chic,59,53.25,9/13/87,NA,NA,12.359375,21.16666667
257,chic,61.5,58,9/14/87,NA,NA,18.89583333,27.96180556
258,chic,72,66,9/15/87,NA,NA,15.43478261,28.3861715
259,chic,69,66.875,9/16/87,NA,33,10.20471015,25.61805556
260,chic,67.5,64.25,9/17/87,NA,30,13.52380952,18.87626263
261,chic,63.5,60.375,9/18/87,NA,25.25,6.892857143,17.64488636
262,chic,61,50.25,9/19/87,NA,NA,12.64285714,16.39583333
263,chic,57,50.875,9/20/87,NA,NA,7.404761905,11.82083333
264,chic,55.5,54.75,9/21/87,NA,29,4.952380952,16.64166667
265,chic,61,52.5,9/22/87,NA,NA,7.263975155,15.90681269
266,chic,63,51,9/23/87,NA,38,13.13690476,20.42708333
267,chic,59.5,46.25,9/24/87,NA,23,16.13095238,16.26736111
268,chic,56.5,43,9/25/87,NA,55,14.01785714,30.21014493
269,chic,65,53.375,9/26/87,NA,42,22.49404762,35.89583333
270,chic,75.5,54,9/27/87,NA,49,27.54761905,30.09166667
271,chic,69,61.125,9/28/87,NA,57,30.01785714,33.75833333
272,chic,61.5,52.375,9/29/87,NA,34,12.73214286,16.11845238
273,chic,55,35.625,9/30/87,NA,26.8,10.90972222,18.55833333
274,chic,55.5,46.375,10/1/87,NA,44,17.30357143,20.9625
275,chic,47,32.25,10/2/87,NA,52,15.02820911,9.966847826
276,chic,42.5,29.875,10/3/87,NA,52,15.39285714,19.54583333
277,chic,52,30.75,10/4/87,NA,50,19.14880952,19.56666667
278,chic,60,41.25,10/5/87,NA,48,14.81309524,18.31333333
279,chic,45.5,38,10/6/87,NA,24.16666667,6.972943723,9.258333333
280,chic,39.5,26.875,10/7/87,NA,36,13.31547619,13.86358696
281,chic,41.5,26.875,10/8/87,NA,41,10.51811594,27.59583333
282,chic,53.5,31.25,10/9/87,NA,38,11.5636646,19.60902778
283,chic,42.5,32.625,10/10/87,NA,28,8.738095238,21.15277778
284,chic,39,25.5,10/11/87,NA,32,14.63333333,23.29861111
285,chic,42.5,30.375,10/12/87,NA,41.5,12.41468254,39.04861111
286,chic,49.5,33.375,10/13/87,NA,NA,15.11560929,40.27065217
287,chic,55.5,38.125,10/14/87,NA,41,10.79859335,40.23067633
288,chic,63,36,10/15/87,NA,52,24.44759317,43.20833333
289,chic,62.5,55.125,10/16/87,NA,58,28.56547619,35.80357143
290,chic,48,42.125,10/17/87,NA,19,9.220238095,11.26388889
291,chic,53.5,43.75,10/18/87,NA,26.85714286,15.9702381,23.08680556
292,chic,49.5,40.25,10/19/87,NA,11,18.86904762,22.22569444
293,chic,45.5,32.375,10/20/87,NA,24,15.28109903,17.85565476
294,chic,37,33.25,10/21/87,NA,20.5,6.467948718,14.98263889
295,chic,43,34.25,10/22/87,NA,25,6.753246753,23.25422705
296,chic,39,31.125,10/23/87,NA,50,8.314880952,25.23863636
297,chic,38.5,33.5,10/24/87,NA,28.4,7.535714286,23.8125
298,chic,42,31.125,10/25/87,NA,NA,11.125,23.89236111
299,chic,44.5,45.375,10/26/87,NA,33,5.071428571,27.04166667
300,chic,44.5,34.5,10/27/87,NA,31,10.17572464,19.58806818
301,chic,38.5,28.875,10/28/87,NA,31,5.071336429,24.83205409
302,chic,44.5,37.75,10/29/87,NA,48,7.256944444,33.36020531
303,chic,54.5,42.875,10/30/87,NA,50.66666667,16.93452381,31.46180556
304,chic,52,49.375,10/31/87,NA,60,12.57142857,22.51041667
305,chic,58,58.5,11/1/87,NA,30,9.744565217,30.34027778
306,chic,64,56.625,11/2/87,NA,46,11.5508658,35.23611111
307,chic,66,49.875,11/3/87,NA,NA,29.45833333,32.50378788
308,chic,56.5,38.25,11/4/87,NA,47,19.16666667,19.04160401
309,chic,40.5,19.875,11/5/87,NA,25.5,20.16666667,19.13143939
310,chic,39.5,25.75,11/6/87,NA,43,9.5,27.25416667
311,chic,45.5,29.5,11/7/87,NA,46,2.75,31.6875
312,chic,49.5,41.75,11/8/87,NA,66,23.29166667,25.41666667
313,chic,35,18.5,11/9/87,NA,18,25.66666667,24.61979167
314,chic,34,24.875,11/10/87,NA,12,27.75,25.35416667
315,chic,35,23.75,11/11/87,NA,31.28571429,7.958333333,27.56944444
316,chic,43.5,31.125,11/12/87,NA,47,7,31.23867754
317,chic,48.5,31.375,11/13/87,NA,55,2.875,29.82518116
318,chic,47,31.125,11/14/87,NA,18,9.875,28.66666667
319,chic,50.5,32,11/15/87,NA,51,19.25,36.91666667
320,chic,56,56,11/16/87,NA,34,17.66666667,30.38541667
321,chic,50,35.375,11/17/87,NA,18.33333333,12.70833333,10.67798913
322,chic,38,29.25,11/18/87,NA,NA,10.34782609,15.73336039
323,chic,37.5,26,11/19/87,NA,29,10.83333333,20.04464286
324,chic,27.5,10.375,11/20/87,NA,34,25.04166667,13.95189394
325,chic,25.5,11.5,11/21/87,NA,27,11.29166667,23.74166667
326,chic,42,28.75,11/22/87,NA,NA,11.33333333,18.96666667
327,chic,43.5,31.75,11/23/87,NA,30.33333333,8.772727273,12.65416667
328,chic,39.5,39.375,11/24/87,NA,52,8.833333333,14.59649123
329,chic,40,36.875,11/25/87,NA,10,13.125,14.98856108
330,chic,40,35.875,11/26/87,NA,15,23.58333333,7.866666667
331,chic,40.5,39.5,11/27/87,NA,NA,11,13.04166667
332,chic,47,45.5,11/28/87,NA,NA,4.458333333,17.49166667
333,chic,39,34.625,11/29/87,NA,12.14285714,2.125,11.64583333
334,chic,37,35.5,11/30/87,NA,NA,4.166666667,13.62083333
335,chic,32,24.125,12/1/87,NA,28,13.47826087,16.89166667
336,chic,30,26.375,12/2/87,NA,23,9.25,15.24166667
337,chic,30.5,26.25,12/3/87,NA,30,6.625,19.43333333
338,chic,27,19.625,12/4/87,NA,35,12.54166667,21.45757576
339,chic,27,24.625,12/5/87,NA,24.66666667,13.875,24.675
340,chic,31.5,29,12/6/87,NA,22,15.29166667,21.96666667
341,chic,38.5,36.25,12/7/87,NA,25,6.416666667,21.76666667
342,chic,46.5,49.5,12/8/87,NA,28,2.958333333,22.64963768
343,chic,49.5,34.375,12/9/87,NA,21,9.041666667,12.475
344,chic,38,31.125,12/10/87,NA,32,7.25,17.91793478
345,chic,41,33.625,12/11/87,NA,23,2.583333333,23.375
346,chic,35,23.75,12/12/87,NA,29,11.04166667,9.204166667
347,chic,31.5,23.5,12/13/87,NA,34,13.16666667,13.29583333
348,chic,30,27.5,12/14/87,NA,43,13,24.99166667
349,chic,31,24.25,12/15/87,NA,19,9.052631579,11.12412281
350,chic,27.5,16.625,12/16/87,NA,36,12.08333333,11.2625
351,chic,20.5,11.75,12/17/87,NA,27.2,8.086956522,23.48333333
352,chic,23,25.75,12/18/87,NA,36,2.870471015,22.74166667
353,chic,34,35,12/19/87,NA,21.5,2.395833333,21.94583333
354,chic,34,21.25,12/20/87,NA,25,9.8125,15.675
355,chic,33,26.125,12/21/87,NA,NA,6.875,21.95380435
356,chic,35,29.125,12/22/87,NA,NA,2.739130435,29.45652174
357,chic,35.5,31.25,12/23/87,NA,36,3.5,24.96666667
358,chic,41,39.75,12/24/87,NA,NA,2.395833333,21.675
359,chic,33,25.5,12/25/87,NA,16,15.14583333,11.13333333
360,chic,27.5,23.75,12/26/87,NA,NA,18.625,17.39166667
361,chic,29,28.375,12/27/87,NA,45,10.04166667,26.69166667
362,chic,33.5,30.75,12/28/87,NA,NA,18.22916667,15.64166667
363,chic,24.5,20.25,12/29/87,NA,20.66666667,19.41666667,23.80492424
364,chic,25.5,27.625,12/30/87,NA,NA,4.345833333,31.69065657
365,chic,23.5,7.25,12/31/87,NA,21,16.08333333,16.77083333
366,chic,3.5,-3.625,1/1/88,NA,NA,19.95833333,14.13888889
367,chic,15,15.375,1/2/88,NA,NA,7.8125,25.73611111
368,chic,24.5,16.75,1/3/88,NA,25,8.645833333,21.72222222
369,chic,5,-15.875,1/4/88,NA,26,18.21130952,12.66571429
370,chic,-6.5,-15.75,1/5/88,NA,24,13.16666667,17.22083333
371,chic,-5.5,-15.125,1/6/88,NA,75,7.145833333,27.66594203
372,chic,3,-1.875,1/7/88,NA,74,2.520833333,52.1
373,chic,8.5,2.75,1/8/88,NA,87,4.65942029,42.88504141
374,chic,0.5,-12.25,1/9/88,NA,48,7.395833333,26.45
375,chic,1.5,-1.625,1/10/88,NA,36.33333333,6.916666667,31.175
376,chic,24,22.25,1/11/88,NA,39,6.479166667,25.88333333
377,chic,28.5,15.5,1/12/88,NA,43,16.9375,16.52862319
378,chic,12,-0.375,1/13/88,NA,51,13.85416667,21.42348485
379,chic,11,9.375,1/14/88,NA,46,3.458333333,32.825
380,chic,28,22.75,1/15/88,NA,28,4.229166667,24.6
381,chic,39,29.25,1/16/88,NA,32,14.14583333,19.22916667
382,chic,37,32.25,1/17/88,NA,26,6.354166667,24.82083333
383,chic,33.5,32.375,1/18/88,NA,NA,8.717105263,28.92380952
384,chic,35.5,34.625,1/19/88,NA,39,13.125,23.51818182
385,chic,34,27.375,1/20/88,NA,23.5,6.506944444,21.03804348
386,chic,28.5,21.125,1/21/88,NA,20,16.22916667,21.35833333
387,chic,27,23.625,1/22/88,NA,27.16666667,6.625,19.92811355
388,chic,21,25.75,1/23/88,NA,23,7,17.49583333
389,chic,24.5,17,1/24/88,NA,26,7.5,16.0375
390,chic,14.5,-2.75,1/25/88,NA,34,6.708333333,18.76666667
391,chic,9,-0.5,1/26/88,NA,45,6.875,27.12472944
392,chic,7,11.25,1/27/88,NA,51,7.304347826,33.98378788
393,chic,21.5,19.25,1/28/88,NA,46,9.333333333,31.37753623
394,chic,35.5,40.5,1/29/88,NA,37,13.45833333,33.37484849
395,chic,50.5,47.5,1/30/88,NA,23,26.54166667,15.46666667
396,chic,46,31.875,1/31/88,NA,42,19.125,13.84583333
397,chic,28,21.375,2/1/88,NA,13,24.125,16.51590909
398,chic,22.5,17.75,2/2/88,NA,23,29.08333333,16.725
