structure,mp,rings,heavy atoms,single bonds,triple bonds,reactive,molar mass,refractivity,formal charge,logP,tpsa,dipole moment,energy,density,volume,PCA1,PCA2
O=C(OCC)C(C#N)=Cc1ccccc1,48.5,6,15,17,1,0,201.22499,5.9437623,0,2.1566839,50.09,4.9996538,-101.4304,0.97541463,206.29688,6.7157,-0.1383
O=C1C=Cc2ccccc2C=C1CC,49,6,14,18,0,1,184.23799,5.780138,0,3.0759001,17.07,3.7685001,-87.485558,0.93314588,197.4375,9.2896,3.9163
BrCC(=O)c1ccccc1,49,6,10,10,0,1,199.047,4.5214429,0,2.2642,17.07,2.8811903,-73.820503,1.2481881,159.46875,12.4673,2.3378
O=C(O)CCc1ccccc1,49,6,11,14,0,0,150.177,4.3948345,0,1.70377,37.299999,4.1748252,-78.409966,0.96732366,155.25,10.594,-2.7982
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)N(Cc1ccccc1)Cc1ccccc1,49,12,42,44,0,0,643.33698,10.871271,0,8.7575998,20.309999,4.5813332,-472.00021,1.4863031,432.84375,-14.5854,2.7069
N1c2ccccc2CC1c1ccccc1,49,12,15,18,0,0,195.265,6.2428622,0,3.49137,12.03,1.5381645,-87.616829,0.92017967,212.20312,8.247,5.9634
[N-]=[N+]=Nc1ccccc1c1ccccc1,49,12,15,11,0,1,195.22499,6.0092039,0,4.2954001,24.719999,1.7150755,-88.619102,0.99731797,195.75,7.5037,5.1333
Oc1ccc(N=Nc2ccc(cc2)CCCC)cc1,49.200001,12,19,25,0,0,254.33299,7.830359,0,5.1501698,44.950001,1.2248902,-120.99611,0.95389777,266.625,2.5111,4.1593
[S+2]([O-])([O-])(OCCOCc1ccccc1)c1ccc(C)cc1,49.5,12,21,28,0,0,306.38199,8.4273987,0,3.1835201,52.599998,5.463521,-153.19838,1.0571162,289.82812,-0.3786,0.8247
O(CC=C)C1(C#Cc2ccccc2)Cc2ccccc21,49.799999,12,20,24,1,0,260.336,8.2295647,0,4.003778,9.2299995,1.2663637,-120.83391,0.92656565,280.96875,2.8542,6.9072
CC1(C)CC(C)(c2ccccc21)c1ccccc1,50,12,18,28,0,0,236.358,7.6567888,0,4.6739001,0,0.37884167,-105.85239,0.89784616,263.25,3.5385,7.955
O=C(c1ccccc1)c1ccc(C)cc1,50,12,15,15,0,0,196.24899,6.243608,0,3.2260201,17.07,2.8573711,-92.647827,0.93223006,210.51562,7.8629,4.6352
[nH0]1ccc(C)c(c1)C=NN(C)C,50,6,12,18,0,0,163.224,4.9516077,0,1.28552,28.49,1.9495982,-75.976501,0.9168278,178.03125,9.1467,0.4997
O=C(OC1CC(C)CCC1C(C)C)C1(C)CCC(C)C1(C)C,50,0,22,58,0,1,308.50598,9.1765108,0,5.4527998,26.299999,1.7084987,-152.42818,0.8831805,349.3125,-1.8703,4.4894
O=C(C=C1Cc2ccccc21)c1ccccc1,50.099998,12,17,17,0,0,220.271,6.9150057,0,3.50897,17.07,2.2340879,-102.82931,0.90962338,242.15625,6.6458,5.2737
O=C(OC)[nH0]1c2ccccc2c(C)c1C,50.200001,9,15,18,0,0,203.241,5.938642,0,2.8726399,31.23,2.245929,-102.8457,0.97324532,208.82812,7.9505,-0.2341
Fc1ccc(cc1)C(=O)C=C(C)c1ccc(F)cc1,50.5,12,19,18,0,0,258.267,7.2261415,0,4.7936001,17.07,0.95950717,-141.0851,1.0628271,243,3.7844,3.2544
O=[N+]([O-])c1ccccc1C(C)C#N,50.5,6,13,13,1,0,176.175,4.8291974,0,2.221884,69.610001,6.3737144,-90.943024,1.0285714,171.28125,9.77,-1.8401
[S+2]([O-])([O-])(OCC#N)c1ccc(C)cc1,50.5,6,14,16,1,0,211.241,5.4338293,0,1.223904,67.160004,5.8978214,-105.49769,1.148439,183.9375,7.4866,-2.425
O=C1C=C(c2ccccc21)c1ccccc1,50.799999,12,16,14,0,0,206.24399,6.4461298,0,3.1318901,17.07,3.1513555,-96.398033,0.95297205,216.42188,8.1896,4.9936
O=C1Cc2c1cc(C)c(OC)c2C,51,6,13,19,0,0,176.215,5.0967531,0,2.0508101,26.299999,2.8135989,-89.947189,0.97138327,181.40625,10.0892,1.4407
O=C(OC)CCc1cccc(c1)CCC(=O)OC,51,6,18,28,0,1,250.29399,7.0158143,0,1.89774,52.599998,3.4963903,-134.93866,0.98226732,254.8125,1.6264,-2.8605
O=C(OCCC(OC(=O)c1ccccc1)c1ccccc1)c1ccccc1,51,18,27,29,0,0,360.409,10.606797,0,4.9273,52.599998,3.7503285,-182.4133,0.99337536,362.8125,-5.3271,2.2321
O=C1Cc2cc(OC)ccc21,51.5,6,11,13,0,0,148.161,4.1942191,0,1.43397,26.299999,3.066381,-76.97213,1.0034184,147.65625,12.4089,0.5723
OC1(CC)c2ccccc2C1C,51.5,6,12,21,0,0,162.23199,4.9491234,0,2.7128,20.23,1.2002454,-78.576752,0.90482336,179.29688,11.1091,2.5755
O=C(O)CC=C1C(O)C2(C)CCC1C2(C)C,51.5,0,16,35,0,0,224.29999,6.1020794,0,2.2045,57.529999,5.1633863,-118.41766,0.97914189,229.07812,4.9219,-2.9851
O=C(OC)[nH0]1[nH0]c(C)cc1C,51.5,5,11,15,0,0,154.16899,4.138351,0,1.11444,44.119999,3.6962008,-82.156792,1.0236348,150.60938,11.781,-3.1948
O=C(OC1CCCc2c(C)ccc(C)c21)C,52,6,16,28,0,1,218.29599,6.4775977,0,3.3394101,26.299999,4.1850266,-109.46798,0.92898089,234.98438,6.2733,1.4882
c1ccc(cc1)CC(c1ccccc1)c1ccccc1,52,18,20,22,0,0,258.36398,8.6019306,0,5.0611701,0,0.058266629,-114.7324,0.89404142,288.98438,1.8016,8.5581
O=C1Cc2cc(C)ccc21,52.5,6,10,12,0,0,132.162,4.0031233,0,1.73379,17.07,3.0595205,-64.258041,0.93794274,140.90625,14.1512,1.9912
OC(c1ccccc1)c1cccc(C)c1,52.5,12,15,18,0,0,198.265,6.2920823,0,3.17222,20.23,1.5208334,-93.999092,0.93617821,211.78125,7.5404,3.977
O=C(OC1CC(C)CCC1C(C)C)C(c1ccccc1)c1ccccc1,52.5,12,26,45,0,1,350.50198,10.802534,0,5.8225002,26.299999,1.5107759,-168.85547,0.91399288,383.48438,-4.356,5.8682
[nH0]1(C)c2ccccc2c2CCCCc12,52.5,9,14,21,0,0,185.26999,5.886899,0,3.41624,4.9299998,2.2817321,-83.858597,0.89078808,207.98438,9.4433,5.5168
O=C(C)C=C(C)c1ccc(OC)cc1,52.799999,6,14,20,0,0,190.24199,5.7409253,0,2.6875,26.299999,3.4473772,-96.453636,0.92786831,205.03125,7.5194,2.4324
O=CNc1ccccc1C,53,6,10,12,0,0,135.166,4.1110687,0,1.56332,29.1,3.1178823,-66.888115,0.9313764,145.125,11.9684,-1.9689
O=Cc1ccc(OC)c(C)c1C,53,6,12,17,0,1,164.20399,4.8684382,0,2.1245401,26.299999,2.6258953,-84.858757,0.92672449,177.1875,9.9962,1.2897
FC(F)(F)C(C(=O)N(C(C)C)C(C)C)C(F)(F)F,53,0,18,31,0,0,279.224,5.3934813,0,3.3726001,20.309999,5.5027523,-195.88075,1.2535309,222.75,3.9809,-2.0805
OC(C)(C#CC(O)(C)CC)CC,53,0,12,28,1,0,170.252,4.9424357,0,1.311808,40.459999,1.6142352,-88.877029,0.87540191,194.48438,7.7027,-0.4406
O(C)c1ccc(N=Nc2ccccc2)cc1,53,12,16,16,0,0,212.252,6.4752598,0,4.1106,33.950001,1.1952945,-101.50766,1.0002303,212.20312,6.0535,4.6732
O=C(C)CCc1oc2ccccc2c1c1oc(C)cc1,53.5,14,20,22,0,1,268.31198,7.853301,0,4.52279,43.349998,1.7844716,-136.17096,1.001573,267.89062,2.7924,3.3195
CC=1C(=CC(C=1C)C(C)C)Cc1ccccc1,53.5,6,17,32,0,0,226.36299,7.4254069,0,4.7776699,0,0.36719748,-102.05111,0.85713118,264.09375,3.5092,6.9825
O=C(OCC)C=Cc1cccc(c1)C=CC(=O)OCC,53.5,6,20,28,0,0,274.31598,7.8492823,0,2.8392,52.599998,1.3373803,-145.13219,0.98819226,277.59375,-0.5208,-1.7841
S(C)C(SC)=NC#N,53.5,0,8,11,1,0,146.23801,3.8774312,0,1.093484,36.150002,2.9648814,-54.705975,1.1145924,131.20312,13.2032,-2.3295
O=C(C)CCc1ccc2CCC(Nc2c1)C,53.5,6,16,29,0,1,217.312,6.6381497,0,2.95474,29.1,4.0656095,-104.44086,0.92148465,235.82812,5.6686,3.3491
FC(F)(F)C(C(=O)N(C)C)C(F)(F)F,54,0,14,19,0,0,223.116,3.5084982,0,1.8154,20.309999,5.1775761,-169.94504,1.4982083,148.92188,8.7806,-5.2469
S(C)C(SC)=C(C#N)C(=O)OCC,54,0,13,20,1,0,217.313,5.7755604,0,1.554684,50.09,5.4120831,-97.041557,1.0776408,201.65625,7.296,-1.8498
O=[N+]([O-])c1ccccc1COC(=O)Cc1ccccc1,54,12,20,20,0,1,271.272,7.4796228,0,3.1470699,72.120003,4.5018778,-143.57248,1.0541232,257.34375,1.5753,-1.9879
O=C1Cc2ccc(OC)cc21,54.5,6,11,13,0,0,148.161,4.1942191,0,1.43397,26.299999,3.7792504,-76.968506,1.0150186,145.96875,12.4651,0.5228
O=[N+]([O-])c1ccccc1C#Cc1[nH0]cccc1,54.799999,12,17,12,1,0,224.21899,6.4274645,0,2.3896079,58.709999,4.3711824,-111.42332,1.0587292,211.78125,6.0223,0.0289
ClC1Cc2cc3OCOc3cc21,55,6,12,15,0,1,182.606,4.5467548,0,2.34677,18.459999,1.279966,-90.034683,1.1301405,161.57812,11.8315,2.4677
O=C1C=C(OC)C2CCC1(C)C2(C)C,55,0,14,31,0,0,194.274,5.5324841,0,2.5418999,26.299999,3.9858277,-98.964615,0.96138066,202.07812,8.2343,2.001
O=C(C)c1ccc2ccccc2c1,55,10,13,12,0,0,170.211,5.3709898,0,3.0423999,17.07,2.7203619,-81.045273,0.92537409,183.9375,10.4719,3.985
Nc1ccccc1Cc1ccccc1N,55,12,15,18,0,0,198.269,6.2431636,0,2.4417701,52.040001,2.3916306,-90.204987,0.95328796,207.98438,6.9573,3.0621
c1ccc(cc1)CCc1ccccc1,55,12,14,17,0,0,182.26599,6.1378355,0,3.47174,0,0.15995938,-81.262016,0.87104416,209.25,6.9536,6.5785
O=C(C=C1Cc2ccccc21)c1ccccc1,55.200001,12,17,17,0,0,220.271,6.9150057,0,3.50897,17.07,2.2169633,-102.82872,0.91600674,240.46875,6.6458,5.2737
O=C(C)c1c(O)c2ccccc2cc1c1ccccc1,55.200001,16,20,18,0,0,262.30798,7.9961743,0,4.415,37.299999,3.2048533,-127.26151,0.96100014,272.95312,3.4324,3.6376
O=C1Cc2c1cccc2C,55.5,6,10,12,0,0,132.162,4.0068617,0,1.73379,17.07,2.9581985,-64.257729,0.91600257,144.28125,14.2543,1.9811
Brc1c(C)c(C)cc(C)c1C,55.5,6,11,18,0,0,213.118,5.2594309,0,3.7560799,0,1.1616458,-75.428024,1.1127062,191.53125,9.8127,5.1595
O=C(O)CCC(C)Cc1ccccc1,55.5,6,14,23,0,0,192.258,5.7680144,0,2.72997,37.299999,4.2969537,-97.864273,0.92065185,208.82812,6.5326,-1.0209
O=C(C)CCc1ccc(cc1)CCC(=O)C,55.5,6,16,26,0,1,218.29599,6.6361246,0,2.7297399,34.139999,0.23987913,-109.46812,0.89678049,243.42188,4.4858,2.0269
[S+2]([O-])([O-])(CC(OCc1ccccc1)COCc1ccccc1)c1ccccc1,55.5,18,28,36,0,0,396.50699,11.398545,0,4.7953,52.599998,5.0495152,-193.10349,1.0260572,386.4375,-7.7221,2.4198
O=C(OC1=CC(c2ccccc21)c1ccccc1)C,55.599998,12,19,21,0,1,250.297,7.5513177,0,3.7361,26.299999,4.1378217,-122.10553,0.98390812,254.39062,4.1943,2.7679
Fc1cccc2CC(O)c21,55.799999,6,10,12,0,0,138.14099,3.6628251,0,1.78197,20.23,2.6525099,-77.54406,1.0495043,131.625,14.045,-1.2872
[Si](C)(C)(C)C1=CC2(CCCCC2)CC1=O,56,0,15,36,0,1,222.403,7.0984445,0,3.7135,17.07,2.820971,-97.477356,0.88009596,252.70312,6.3046,3.983
O=C1C=CC2C3C=CC(C3)C12,56,0,11,20,0,1,146.189,4.2500515,0,1.5635999,17.07,3.0930147,-70.655846,0.97887588,149.34375,13.4178,1.8381
O=C1OC(=CCN=[N+]=[N-])C(OC)=C1OC,56,0,15,19,0,1,211.177,5.0819125,0,1.2418,69.480003,4.4032383,-118.9793,1.1376538,185.625,7.0057,-4.5259
O=C(Oc1ccccc1C=Cc1ccccc1)C,56,12,18,19,0,1,238.286,7.3164573,0,3.7823,26.299999,1.5117453,-116.9724,0.96882689,245.95312,4.0531,2.5064
O=C(OCC)C#Cc1cccc(C#CC(=O)OCC)c1,56,6,20,24,2,0,270.284,7.6573954,0,1.515816,52.599998,2.1723292,-142.34212,0.99329174,272.10938,0.4115,-1.8998
Brc1ccccc1C(c1oc(C)cc1)c1oc(C)cc1,56.5,16,20,21,0,0,331.20898,8.4518204,0,5.5054402,26.280001,0.88637519,-138.05859,1.1427773,289.82812,2.7689,6.2564
c1ccc(cc1)C1(C=CC=CC1)c1ccccc1,56.5,12,18,22,0,0,232.32599,7.6612854,0,4.4888,0,0.24578649,-103.08492,0.89690334,259.03125,3.9825,8.0215
Brc1ccc(C)c(c1O)C(=O)O,56.5,6,12,12,0,0,231.045,4.7671223,0,2.2346201,57.529999,2.9690993,-99.327011,1.3555995,170.4375,9.5116,-5.018
O=C1N(CCCCC1)c1ccccc1,56.5,6,14,23,0,0,189.258,5.7642298,0,2.5936,20.309999,3.4854977,-91.459236,0.94048542,201.23438,8.3436,1.5289
s1cc([nH0]c1C)C(=O)OCC,56.5,5,11,14,0,0,171.22,4.5852861,0,1.62822,39.189999,1.7805036,-82.540962,1.0880826,157.35938,10.7141,-2.9982
O=C1C=C2CCCC(O)C2(C)CC1,57,0,13,28,0,0,180.24699,5.0949755,0,1.8268,37.299999,2.1275485,-92.720085,0.97102761,185.625,9.5429,0.0757
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)N(C)C1CCCCC1,57,0,35,48,0,0,559.26001,7.9571857,0,6.7869,20.309999,4.3884106,-436.12772,1.634591,342.14062,-8.9685,-0.1831
O=C1CCCCC1c1ccccc1,57.200001,6,13,21,0,0,174.243,5.4226389,0,2.9133,17.07,2.6781547,-83.758423,0.92813581,187.73438,9.6721,3.6608
OC1(C)Cc2cc(C)cc(C)c21,57.5,6,12,21,0,0,162.23199,4.9132113,0,2.37851,20.23,1.5855037,-78.594902,0.90058529,180.14062,11.4176,2.2104
O=C(OCC)C(Cc1ccccc1)(Cc1ccccc1)C(=O)C,57.5,12,23,32,0,1,310.39301,9.3043928,0,3.61024,43.369999,2.6416376,-155.64522,0.93965054,330.32812,-1.7652,2.5897
ClC(=Cc1ccccc1)c1cc2c([nH0](c(c3ccccc3)c2OC(=O)C)C(=O)C)cc1[N+](=O)[O-],57.5,21,34,30,0,1,474.89999,12.940167,0,6.5387998,94.120003,9.2691202,-237.54153,1.118975,424.40625,-10.4278,0.1956
O=[N+]([O-])c1cc(ccc1CCC(=O)C)CCC(=O)C,57.5,6,19,27,0,1,263.293,7.2028561,0,2.6379399,79.959999,6.804132,-141.17171,1.0298711,255.65625,2.0198,-2.4831
FC(F)(F)C(=O)OC1OC(=O)c2ccccc21,57.5,6,17,15,0,1,246.14,4.9570575,0,2.0566001,52.599998,4.4418383,-162.95091,1.3663769,180.14062,6.1291,-6.9264
OC1Cc2ccccc21,58,6,9,12,0,0,120.15099,3.6075165,0,1.37157,20.23,1.248765,-59.121979,0.93994182,127.82812,15.2308,0.5605
CC1c2ccccc2C=C1c1ccccc1,58,12,16,19,0,0,206.28799,6.7666011,0,4.3442998,0,0.4030062,-91.51104,0.89067203,231.60938,6.174,7.1557
CC=1Cc2ccccc2C=1c1ccccc1,58.200001,12,16,19,0,0,206.28799,6.7719474,0,3.8817599,0,0.76650769,-91.51741,0.87787962,234.98438,6.2957,7.1126
