,year,state,fips,deaths,population,crude,adjusted,adjusted_se,region,abbr,division_name
59,2000,Hawaii,15,29,1211537,2.4,2.3,0.4,West,HI,Pacific
60,2000,Idaho,16,28,1293953,2.2,2.2,0.4,West,ID,Mountain
61,2000,Illinois,17,558,12419293,4.5,4.5,0.2,Midwest,IL,East North Central
62,2000,Indiana,18,41,6080485,0.7,0.7,0.1,Midwest,IN,East North Central
63,2000,Iowa,19,19,2926324,NA,NA,0.2,Midwest,IA,West North Central
64,2000,Kansas,20,22,2688418,0.8,0.9,0.2,Midwest,KS,West North Central
65,2000,Kentucky,21,92,4041769,2.3,2.3,0.2,South,KY,East South Central
66,2000,Louisiana,22,52,4468976,1.2,1.2,0.2,South,LA,West South Central
67,2000,Maine,23,41,1274923,3.2,3.2,0.5,Northeast,ME,New England
68,2000,Maryland,24,481,5296486,9.1,8.7,0.4,South,MD,South Atlantic
69,2000,Massachusetts,25,314,6349097,4.9,4.8,0.3,Northeast,MA,New England
70,2000,Michigan,26,180,9938444,1.8,1.8,0.1,Midwest,MI,East North Central
71,2000,Minnesota,27,57,4919479,1.2,1.1,0.2,Midwest,MN,West North Central
72,2000,Mississippi,28,12,2844658,NA,NA,0.1,South,MS,East South Central
73,2000,Missouri,29,131,5595211,2.3,2.4,0.2,Midwest,MO,West North Central
74,2000,Montana,30,11,902195,NA,NA,0.4,West,MT,Mountain
75,2000,Nebraska,31,16,1711263,NA,NA,0.2,Midwest,NE,West North Central
76,2000,Nevada,32,178,1998257,8.9,8.8,0.7,West,NV,Mountain
77,2000,New Hampshire,33,29,1235786,2.3,2.2,0.4,Northeast,NH,New England
78,2000,New Jersey,34,350,8414350,4.2,4.1,0.2,Northeast,NJ,Middle Atlantic
79,2000,New Mexico,35,180,1819046,9.9,10,0.8,West,NM,Mountain
80,2000,New York,36,494,18976457,2.6,2.6,0.1,Northeast,NY,Middle Atlantic
81,2000,North Carolina,37,286,8049313,3.6,3.5,0.2,South,NC,South Atlantic
82,2000,Ohio,39,250,11353140,2.2,2.2,0.1,Midwest,OH,East North Central
83,2000,Oklahoma,40,127,3450654,3.7,3.8,0.3,South,OK,West South Central
84,2000,Oregon,41,106,3421399,3.1,3.1,0.3,West,OR,Pacific
85,2000,Pennsylvania,42,319,12281054,2.6,2.7,0.1,Northeast,PA,Middle Atlantic
86,2000,Rhode Island,44,57,1048319,5.4,5.4,0.7,Northeast,RI,New England
87,2000,South Carolina,45,87,4012012,2.2,2.2,0.2,South,SC,South Atlantic
88,2000,Tennessee,47,100,5689283,1.8,1.8,0.2,South,TN,East South Central
89,2000,Texas,48,379,20851820,1.8,1.8,0.1,South,TX,West South Central
90,2000,Utah,49,156,2233169,7,7.6,0.6,West,UT,Mountain
91,2000,Vermont,50,22,608827,3.6,3.6,0.8,Northeast,VT,New England
92,2000,Virginia,51,250,7078515,3.5,3.4,0.2,South,VA,South Atlantic
93,2000,Washington,53,353,5894121,6,5.8,0.3,West,WA,Pacific
94,2000,West Virginia,54,50,1808344,2.8,2.8,0.4,South,WV,South Atlantic
95,2000,Wisconsin,55,112,5363675,2.1,2.1,0.2,Midwest,WI,East North Central
96,2000,Wyoming,56,10,493782,NA,NA,0.6,West,WY,Mountain
97,2001,Alabama,1,57,4467634,1.3,1.3,0.2,South,AL,East South Central
98,2001,Alaska,2,14,633714,NA,NA,0.6,West,AK,Pacific
99,2001,Arizona,4,265,5273477,5,5.2,0.3,West,AZ,Mountain
100,2001,Arkansas,5,30,2691571,1.1,1.1,0.2,South,AR,West South Central
101,2001,California,6,551,34479458,1.6,1.6,0.1,West,CA,Pacific
102,2001,Colorado,8,192,4425687,4.3,4.2,0.3,West,CO,Mountain
103,2001,Connecticut,9,149,3432835,4.3,4.3,0.4,Northeast,CT,New England
104,2001,Delaware,10,36,795699,4.5,4.5,0.8,South,DE,South Atlantic
105,2001,District of Columbia,11,46,574504,8,8.1,1.2,South,DC,South Atlantic
106,2001,Florida,12,846,16356966,5.2,5.4,0.2,South,FL,South Atlantic
107,2001,Georgia,13,183,8377038,2.2,2.1,0.2,South,GA,South Atlantic
108,2001,Hawaii,15,38,1225948,3.1,3,0.5,West,HI,Pacific
109,2001,Idaho,16,51,1319962,3.9,4.1,0.6,West,ID,Mountain
110,2001,Illinois,17,525,12488445,4.2,4.2,0.2,Midwest,IL,East North Central
111,2001,Indiana,18,67,6127760,1.1,1.1,0.1,Midwest,IN,East North Central
112,2001,Iowa,19,27,2931997,0.9,0.9,0.2,Midwest,IA,West North Central
113,2001,Kansas,20,47,2702162,1.7,1.8,0.3,Midwest,KS,West North Central
114,2001,Kentucky,21,144,4068132,3.5,3.5,0.3,South,KY,East South Central
115,2001,Louisiana,22,81,4477875,1.8,1.8,0.2,South,LA,West South Central
116,2001,Maine,23,55,1285692,4.3,4.3,0.6,Northeast,ME,New England
117,2001,Maryland,24,489,5374691,9.1,8.8,0.4,South,MD,South Atlantic
118,2001,Massachusetts,25,500,6397634,7.8,7.6,0.3,Northeast,MA,New England
119,2001,Michigan,26,192,9991120,1.9,1.9,0.1,Midwest,MI,East North Central
120,2001,Minnesota,27,96,4982796,1.9,1.9,0.2,Midwest,MN,West North Central
121,2001,Mississippi,28,26,2852994,0.9,0.9,0.2,South,MS,East South Central
122,2001,Missouri,29,132,5641142,2.3,2.4,0.2,Midwest,MO,West North Central
123,2001,Montana,30,20,906961,2.2,2.3,0.5,West,MT,Mountain
124,2001,Nebraska,31,32,1719836,1.9,1.9,0.3,Midwest,NE,West North Central
125,2001,Nevada,32,182,2098399,8.7,8.5,0.6,West,NV,Mountain
126,2001,New Hampshire,33,53,1255517,4.2,4.1,0.6,Northeast,NH,New England
127,2001,New Jersey,34,397,8492671,4.7,4.6,0.2,Northeast,NJ,Middle Atlantic
128,2001,New Mexico,35,151,1831690,8.2,8.4,0.7,West,NM,Mountain
129,2001,New York,36,611,19082838,3.2,3.2,0.1,Northeast,NY,Middle Atlantic
130,2001,North Carolina,37,338,8210122,4.1,4.1,0.2,South,NC,South Atlantic
131,2001,Ohio,39,336,11387404,3,3,0.2,Midwest,OH,East North Central
132,2001,Oklahoma,40,156,3467100,4.5,4.6,0.4,South,OK,West South Central
133,2001,Oregon,41,147,3467937,4.2,4.2,0.3,West,OR,Pacific
134,2001,Pennsylvania,42,252,12298970,2,2.1,0.1,Northeast,PA,Middle Atlantic
135,2001,Rhode Island,44,78,1057142,7.4,7.4,0.8,Northeast,RI,New England
136,2001,South Carolina,45,83,4064995,2,2,0.2,South,SC,South Atlantic
137,2001,Tennessee,47,136,5750789,2.4,2.4,0.2,South,TN,East South Central
138,2001,Texas,48,561,21319622,2.6,2.6,0.1,South,TX,West South Central
139,2001,Utah,49,157,2283715,6.9,7.8,0.6,West,UT,Mountain
140,2001,Vermont,50,31,612223,5.1,5,0.9,Northeast,VT,New England
141,2001,Virginia,51,312,7198362,4.3,4.2,0.2,South,VA,South Atlantic
142,2001,Washington,53,324,5985722,5.4,5.3,0.3,West,WA,Pacific
143,2001,West Virginia,54,138,1801481,7.7,7.9,0.7,South,WV,South Atlantic
144,2001,Wisconsin,55,140,5406835,2.6,2.6,0.2,Midwest,WI,East North Central
145,2002,Alabama,1,71,4480089,1.6,1.6,0.2,South,AL,East South Central
146,2002,Arizona,4,320,5396255,5.9,6.2,0.3,West,AZ,Mountain
147,2002,Arkansas,5,90,2705927,3.3,3.5,0.4,South,AR,West South Central
148,2002,California,6,1453,34871843,4.2,4.2,0.1,West,CA,Pacific
149,2002,Colorado,8,196,4490406,4.4,4.2,0.3,West,CO,Mountain
150,2002,Connecticut,9,172,3458749,5,5,0.4,Northeast,CT,New England
151,2002,Delaware,10,48,806169,6,6,0.9,South,DE,South Atlantic
152,2002,District of Columbia,11,29,573158,5.1,5.2,1,South,DC,South Atlantic
153,2002,Florida,12,959,16689370,5.7,5.9,0.2,South,FL,South Atlantic
154,2002,Georgia,13,215,8508256,2.5,2.5,0.2,South,GA,South Atlantic
155,2002,Hawaii,15,46,1239613,3.7,3.7,0.5,West,HI,Pacific
156,2002,Idaho,16,45,1340372,3.4,3.5,0.5,West,ID,Mountain
157,2002,Illinois,17,569,12525556,4.5,4.6,0.2,Midwest,IL,East North Central
158,2002,Indiana,18,63,6155967,1,1,0.1,Midwest,IN,East North Central
159,2002,Iowa,19,37,2934234,1.3,1.3,0.2,Midwest,IA,West North Central
160,2002,Kansas,20,80,2713535,2.9,3,0.3,Midwest,KS,West North Central
161,2002,Kentucky,21,177,4089875,4.3,4.4,0.3,South,KY,East South Central
162,2002,Louisiana,22,95,4497267,2.1,2.1,0.2,South,LA,West South Central
163,2002,Maine,23,91,1295960,7,7.3,0.8,Northeast,ME,New England
164,2002,Maryland,24,543,5440389,10,9.7,0.4,South,MD,South Atlantic
165,2002,Massachusetts,25,484,6417206,7.5,7.4,0.3,Northeast,MA,New England
166,2002,Michigan,26,227,10015710,2.3,2.3,0.2,Midwest,MI,East North Central
167,2002,Minnesota,27,95,5018935,1.9,1.9,0.2,Midwest,MN,West North Central
168,2002,Mississippi,28,26,2858681,0.9,0.9,0.2,South,MS,East South Central
169,2002,Missouri,29,189,5674825,3.3,3.4,0.2,Midwest,MO,West North Central
170,2002,Montana,30,20,911667,2.2,2.2,0.5,West,MT,Mountain
171,2002,Nebraska,31,25,1728292,1.4,1.5,0.3,Midwest,NE,West North Central
172,2002,Nevada,32,220,2173791,10.1,10,0.7,West,NV,Mountain
173,2002,New Hampshire,33,80,1269089,6.3,6.3,0.7,Northeast,NH,New England
174,2002,New Jersey,34,486,8552643,5.7,5.6,0.3,Northeast,NJ,Middle Atlantic
175,2002,New Mexico,35,196,1855309,10.6,11.1,0.8,West,NM,Mountain
176,2002,New York,36,555,19137800,2.9,2.9,0.1,Northeast,NY,Middle Atlantic
177,2002,North Carolina,37,407,8326201,4.9,4.9,0.2,South,NC,South Atlantic
178,2002,North Dakota,38,14,638168,NA,NA,0.6,Midwest,ND,West North Central
179,2002,Ohio,39,421,11407889,3.7,3.7,0.2,Midwest,OH,East North Central
180,2002,Oklahoma,40,146,3489080,4.2,4.3,0.4,South,OK,West South Central
181,2002,Oregon,41,193,3513424,5.5,5.4,0.4,West,OR,Pacific
182,2002,Pennsylvania,42,345,12331031,2.8,2.9,0.2,Northeast,PA,Middle Atlantic
183,2002,Rhode Island,44,72,1065995,6.8,6.8,0.8,Northeast,RI,New England
184,2002,South Carolina,45,81,4107795,2,2,0.2,South,SC,South Atlantic
185,2002,South Dakota,46,12,760020,NA,NA,0.5,Midwest,SD,West North Central
186,2002,Tennessee,47,167,5795918,2.9,2.9,0.2,South,TN,East South Central
187,2002,Texas,48,739,21690325,3.4,3.4,0.1,South,TX,West South Central
188,2002,Utah,49,203,2324815,8.7,9.7,0.7,West,UT,Mountain
189,2002,Vermont,50,36,615442,5.8,5.8,1,Northeast,VT,New England
190,2002,Virginia,51,352,7286873,4.8,4.7,0.2,South,VA,South Atlantic
191,2002,Washington,53,455,6052349,7.5,7.4,0.3,West,WA,Pacific
192,2002,West Virginia,54,178,1805414,9.9,10.1,0.8,South,WV,South Atlantic
193,2002,Wisconsin,55,173,5445162,3.2,3.2,0.2,Midwest,WI,East North Central
194,2002,Wyoming,56,17,500017,NA,NA,0.8,West,WY,Mountain
195,2003,Alabama,1,49,4503491,1.1,1.1,0.2,South,AL,East South Central
196,2003,Alaska,2,11,648414,NA,NA,0.5,West,AK,Pacific
197,2003,Arizona,4,340,5510364,6.2,6.4,0.4,West,AZ,Mountain
198,2003,Arkansas,5,89,2724816,3.3,3.4,0.4,South,AR,West South Central
199,2003,California,6,1398,35253159,4,4,0.1,West,CA,Pacific
200,2003,Colorado,8,213,4528732,4.7,4.5,0.3,West,CO,Mountain
201,2003,Connecticut,9,167,3484336,4.8,4.9,0.4,Northeast,CT,New England
202,2003,Delaware,10,37,818003,4.5,4.5,0.7,South,DE,South Atlantic
203,2003,District of Columbia,11,60,568502,10.6,10.7,1.4,South,DC,South Atlantic
204,2003,Florida,12,1043,17004085,6.1,6.3,0.2,South,FL,South Atlantic
205,2003,Georgia,13,236,8622793,2.7,2.7,0.2,South,GA,South Atlantic
206,2003,Hawaii,15,43,1251154,3.4,3.4,0.5,West,HI,Pacific
207,2003,Idaho,16,54,1363380,4,4.2,0.6,West,ID,Mountain
208,2003,Illinois,17,460,12556006,3.7,3.7,0.2,Midwest,IL,East North Central
209,2003,Indiana,18,127,6196638,2,2.1,0.2,Midwest,IN,East North Central
210,2003,Iowa,19,38,2941999,1.3,1.4,0.2,Midwest,IA,West North Central
211,2003,Kansas,20,75,2723004,2.8,2.9,0.3,Midwest,KS,West North Central
212,2003,Kentucky,21,234,4117170,5.7,5.7,0.4,South,KY,East South Central
213,2003,Louisiana,22,121,4521042,2.7,2.7,0.2,South,LA,West South Central
214,2003,Maine,23,86,1306513,6.6,6.7,0.7,Northeast,ME,New England
215,2003,Maryland,24,558,5496269,10.2,9.9,0.4,South,MD,South Atlantic
216,2003,Massachusetts,25,588,6422565,9.2,9,0.4,Northeast,MA,New England
217,2003,Michigan,26,253,10041152,2.5,2.5,0.2,Midwest,MI,East North Central
218,2003,Minnesota,27,106,5053572,2.1,2.1,0.2,Midwest,MN,West North Central
219,2003,Mississippi,28,31,2868312,1.1,1.1,0.2,South,MS,East South Central
220,2003,Missouri,29,271,5709403,4.7,4.8,0.3,Midwest,MO,West North Central
221,2003,Montana,30,41,919630,4.5,4.7,0.7,West,MT,Mountain
222,2003,Nebraska,31,14,1738643,NA,NA,0.2,Midwest,NE,West North Central
223,2003,Nevada,32,244,2248850,10.8,10.8,0.7,West,NV,Mountain
224,2003,New Hampshire,33,92,1279840,7.2,7,0.7,Northeast,NH,New England
225,2003,New Jersey,34,445,8601402,5.2,5.1,0.2,Northeast,NJ,Middle Atlantic
226,2003,New Mexico,35,218,1877574,11.6,12,0.8,West,NM,Mountain
227,2003,New York,36,576,19175939,3,3,0.1,Northeast,NY,Middle Atlantic
228,2003,North Carolina,37,496,8422501,5.9,5.8,0.3,South,NC,South Atlantic
229,2003,Ohio,39,365,11434788,3.2,3.2,0.2,Midwest,OH,East North Central
230,2003,Oklahoma,40,254,3504892,7.2,7.5,0.5,South,OK,West South Central
231,2003,Oregon,41,209,3547376,5.9,5.7,0.4,West,OR,Pacific
232,2003,Pennsylvania,42,470,12374658,3.8,3.9,0.2,Northeast,PA,Middle Atlantic
233,2003,Rhode Island,44,99,1071342,9.2,9.3,0.9,Northeast,RI,New England
234,2003,South Carolina,45,92,4150297,2.2,2.2,0.2,South,SC,South Atlantic
235,2003,Tennessee,47,294,5847812,5,5,0.3,South,TN,East South Central
236,2003,Texas,48,791,22030931,3.6,3.6,0.1,South,TX,West South Central
237,2003,Utah,49,258,2360137,10.9,11.8,0.7,West,UT,Mountain
238,2003,Vermont,50,45,617858,7.3,7.2,1.1,Northeast,VT,New England
239,2003,Virginia,51,362,7366977,4.9,4.8,0.3,South,VA,South Atlantic
240,2003,Washington,53,471,6104115,7.7,7.5,0.3,West,WA,Pacific
241,2003,West Virginia,54,193,1812295,10.6,11.2,0.8,South,WV,South Atlantic
242,2003,Wisconsin,55,200,5479203,3.7,3.7,0.3,Midwest,WI,East North Central
243,2004,Alabama,1,83,4530729,1.8,1.8,0.2,South,AL,East South Central
244,2004,Alaska,2,10,659286,NA,NA,0.4,West,AK,Pacific
245,2004,Arizona,4,344,5652404,6.1,6.3,0.3,West,AZ,Mountain
246,2004,Arkansas,5,127,2749686,4.6,4.8,0.4,South,AR,West South Central
247,2004,California,6,1413,35574576,4,4,0.1,West,CA,Pacific
248,2004,Colorado,8,224,4575013,4.9,4.8,0.3,West,CO,Mountain
249,2004,Connecticut,9,193,3496094,5.5,5.7,0.4,Northeast,CT,New England
250,2004,Delaware,10,35,830803,4.2,4.2,0.7,South,DE,South Atlantic
251,2004,District of Columbia,11,53,567754,9.3,9.4,1.3,South,DC,South Atlantic
252,2004,Florida,12,1196,17415318,6.9,7.1,0.2,South,FL,South Atlantic
253,2004,Georgia,13,258,8769252,2.9,2.9,0.2,South,GA,South Atlantic
254,2004,Hawaii,15,57,1273569,4.5,4.4,0.6,West,HI,Pacific
255,2004,Idaho,16,47,1391802,3.4,3.5,0.5,West,ID,Mountain
256,2004,Illinois,17,532,12589773,4.2,4.2,0.2,Midwest,IL,East North Central
257,2004,Indiana,18,138,6233007,2.2,2.2,0.2,Midwest,IN,East North Central
258,2004,Iowa,19,61,2953635,2.1,2.1,0.3,Midwest,IA,West North Central
259,2004,Kansas,20,116,2734373,4.2,4.4,0.4,Midwest,KS,West North Central
260,2004,Kentucky,21,221,4146101,5.3,5.4,0.4,South,KY,East South Central
261,2004,Louisiana,22,144,4552238,3.2,3.2,0.3,South,LA,West South Central
262,2004,Maine,23,98,1313688,7.5,7.7,0.8,Northeast,ME,New England
263,2004,Maryland,24,486,5546935,8.8,8.5,0.4,South,MD,South Atlantic
264,2004,Massachusetts,25,459,6412281,7.2,7.1,0.3,Northeast,MA,New England
265,2004,Michigan,26,351,10055315,3.5,3.5,0.2,Midwest,MI,East North Central
266,2004,Minnesota,27,135,5087713,2.7,2.6,0.2,Midwest,MN,West North Central
267,2004,Mississippi,28,26,2889010,0.9,1,0.2,South,MS,East South Central
268,2004,Missouri,29,275,5747741,4.8,4.9,0.3,Midwest,MO,West North Central
269,2004,Montana,30,45,930009,4.8,5,0.8,West,MT,Mountain
270,2004,Nebraska,31,26,1749370,1.5,1.6,0.3,Midwest,NE,West North Central
271,2004,Nevada,32,275,2346222,11.7,11.6,0.7,West,NV,Mountain
272,2004,New Hampshire,33,90,1290121,7,6.9,0.7,Northeast,NH,New England
273,2004,New Jersey,34,312,8634561,3.6,3.6,0.2,Northeast,NJ,Middle Atlantic
274,2004,New Mexico,35,185,1903808,9.7,10,0.7,West,NM,Mountain
275,2004,New York,36,479,19171567,2.5,2.4,0.1,Northeast,NY,Middle Atlantic
276,2004,North Carolina,37,562,8553152,6.6,6.6,0.3,South,NC,South Atlantic
277,2004,North Dakota,38,13,644705,NA,NA,0.5,Midwest,ND,West North Central
278,2004,Ohio,39,515,11452251,4.5,4.5,0.2,Midwest,OH,East North Central
279,2004,Oklahoma,40,306,3525233,8.7,8.9,0.5,South,OK,West South Central
280,2004,Oregon,41,225,3569463,6.3,6.2,0.4,West,OR,Pacific
281,2004,Pennsylvania,42,475,12410722,3.8,3.9,0.2,Northeast,PA,Middle Atlantic
282,2004,Rhode Island,44,75,1074579,7,7,0.8,Northeast,RI,New England
283,2004,South Carolina,45,128,4210921,3,3.1,0.3,South,SC,South Atlantic
284,2004,South Dakota,46,20,770396,2.6,2.7,0.6,Midwest,SD,West North Central
285,2004,Tennessee,47,379,5910809,6.4,6.4,0.3,South,TN,East South Central
286,2004,Texas,48,814,22394023,3.6,3.7,0.1,South,TX,West South Central
287,2004,Utah,49,264,2401580,11,11.8,0.7,West,UT,Mountain
288,2004,Vermont,50,37,619920,6,6.1,1,Northeast,VT,New England
289,2004,Virginia,51,390,7475575,5.2,5.1,0.3,South,VA,South Atlantic
290,2004,Washington,53,575,6178645,9.3,9,0.4,West,WA,Pacific
291,2004,West Virginia,54,251,1816438,13.8,14.2,0.9,South,WV,South Atlantic
292,2004,Wisconsin,55,221,5514026,4,4,0.3,Midwest,WI,East North Central
293,2004,Wyoming,56,12,509106,NA,NA,0.7,West,WY,Mountain
294,2005,Alabama,1,80,4569805,1.8,1.8,0.2,South,AL,East South Central
295,2005,Alaska,2,18,666946,NA,NA,0.6,West,AK,Pacific
296,2005,Arizona,4,375,5839077,6.4,6.6,0.3,West,AZ,Mountain
297,2005,Arkansas,5,123,2781097,4.4,4.6,0.4,South,AR,West South Central
298,2005,California,6,1372,35827943,3.8,3.8,0.1,West,CA,Pacific
299,2005,Colorado,8,295,4631888,6.4,6.2,0.4,West,CO,Mountain
300,2005,Connecticut,9,163,3506956,4.6,4.7,0.4,Northeast,CT,New England
301,2005,Delaware,10,29,845150,3.4,3.5,0.7,South,DE,South Atlantic
302,2005,District of Columbia,11,44,567136,7.8,7.8,1.2,South,DC,South Atlantic
303,2005,Florida,12,1097,17842038,6.1,6.3,0.2,South,FL,South Atlantic
304,2005,Georgia,13,300,8925922,3.4,3.3,0.2,South,GA,South Atlantic
305,2005,Hawaii,15,67,1292729,5.2,5,0.6,West,HI,Pacific
306,2005,Idaho,16,50,1428241,3.5,3.7,0.5,West,ID,Mountain
307,2005,Illinois,17,590,12609903,4.7,4.7,0.2,Midwest,IL,East North Central
308,2005,Indiana,18,160,6278616,2.5,2.6,0.2,Midwest,IN,East North Central
309,2005,Iowa,19,67,2964454,2.3,2.4,0.3,Midwest,IA,West North Central
310,2005,Kansas,20,106,2745299,3.9,4.1,0.4,Midwest,KS,West North Central
311,2005,Kentucky,21,285,4182742,6.8,6.8,0.4,South,KY,East South Central
312,2005,Louisiana,22,172,4576628,3.8,3.8,0.3,South,LA,West South Central
313,2005,Maine,23,116,1318787,8.8,9,0.8,Northeast,ME,New England
314,2005,Maryland,24,495,5592379,8.9,8.6,0.4,South,MD,South Atlantic
315,2005,Massachusetts,25,557,6403290,8.7,8.6,0.4,Northeast,MA,New England
316,2005,Michigan,26,483,10051137,4.8,4.8,0.2,Midwest,MI,East North Central
317,2005,Minnesota,27,144,5119598,2.8,2.8,0.2,Midwest,MN,West North Central
318,2005,Mississippi,28,40,2905943,1.4,1.4,0.2,South,MS,East South Central
319,2005,Missouri,29,302,5790300,5.2,5.3,0.3,Midwest,MO,West North Central
320,2005,Montana,30,45,940102,4.8,4.7,0.7,West,MT,Mountain
321,2005,Nebraska,31,43,1761497,2.4,2.5,0.4,Midwest,NE,West North Central
322,2005,Nevada,32,323,2432143,13.3,13.1,0.7,West,NV,Mountain
323,2005,New Hampshire,33,109,1298492,8.4,8.2,0.8,Northeast,NH,New England
324,2005,New Jersey,34,435,8651974,5,5,0.2,Northeast,NJ,Middle Atlantic
325,2005,New Mexico,35,211,1932274,10.9,11.4,0.8,West,NM,Mountain
326,2005,New York,36,562,19132610,2.9,2.9,0.1,Northeast,NY,Middle Atlantic
327,2005,North Carolina,37,654,8705407,7.5,7.5,0.3,South,NC,South Atlantic
328,2005,Ohio,39,560,11463320,4.9,4.9,0.2,Midwest,OH,East North Central
329,2005,Oklahoma,40,313,3548597,8.8,9,0.5,South,OK,West South Central
330,2005,Oregon,41,267,3613202,7.4,7.2,0.4,West,OR,Pacific
331,2005,Pennsylvania,42,504,12449990,4,4.2,0.2,Northeast,PA,Middle Atlantic
332,2005,Rhode Island,44,112,1067916,10.5,10.3,1,Northeast,RI,New England
333,2005,South Carolina,45,149,4270150,3.5,3.5,0.3,South,SC,South Atlantic
334,2005,South Dakota,46,22,775493,2.8,3.1,0.7,Midwest,SD,West North Central
335,2005,Tennessee,47,447,5991057,7.5,7.5,0.4,South,TN,East South Central
336,2005,Texas,48,872,22778123,3.8,3.9,0.1,South,TX,West South Central
