,logS,logSpH7,logP,logD,2C9pKi,hERGpIC50,BBB,Pgpcategory,MW,HBD,HBA,TPSA,Flexibility,RotatableBonds
BROMOCRIPTINE,2.027,2.434,3.81,2.436,5.069,4.54,-1.296,1,654.6,3,10,118.2,0.1224,6
BROMODIPHENHYDRAMINE,2.841,1.55,4.339,2.418,4.911,5.826,1.033,0,334.3,0,2,12.47,0.2857,6
BROMPHENIRAMINE,2.608,1.616,3.699,1.618,4.84,5.703,0.9416,0,319.2,0,2,16.13,0.25,5
BUCLIZINE,1.273,1.223,6.41,4.502,5.73,7.446,1.036,1,433,0,2,6.48,0.1765,6
BUDESONIDE,1.894,1.894,3.034,3.034,4.77,4.577,-0.8081,1,430.5,2,6,93.06,0.1143,4
BUMETANIDE,2.358,3.831,2.522,-0.11,4.854,4.485,-1.083,1,364.4,3,7,118.7,0.3077,8
BUPIVACAINE,3.92,1.896,3.41,2.201,4.376,5.131,0.1782,0,288.4,1,3,32.34,0.2727,6
BUPRE0RPHINE,1.735,0.7707,2.97,2.603,4.983,6.288,-0.2459,1,467.6,2,5,62.16,0.125,5
BUPROPION,3.701,1.972,3.347,2.61,4.542,4.968,1.4,0,239.7,1,2,29.1,0.25,4
BUSPIRONE,2.903,2.053,2.248,0.644,4.531,5.863,0.2,0,385.5,0,7,69.64,0.1935,6
BUSULFAN,4.668,4.668,-0.3111,-0.3111,3.844,4.675,-0.07863,0,246.3,0,6,86.74,0.5385,7
BUTABARBITAL,3.735,3.735,1.65,1.65,3.821,3.184,0.08258,0,212.2,2,5,75.27,0.2,3
BUTALBITAL,4.025,4.025,1.722,1.722,3.999,3.391,0.1804,0,224.3,2,5,75.27,0.25,4
BUTENAFINE,1.023,0.6527,6.226,4.198,5.095,6.36,0.7492,1,317.5,0,1,3.24,0.1923,5
BUTOCONAZOLE,-0.253,-0.253,6.669,6.669,5.384,5.8,0.781,0,411.8,0,2,17.82,0.2593,7
BUTORPHA0L,3.011,0.9278,3.504,1.491,4.386,6.175,-0.1221,1,327.5,2,3,43.7,0.07143,2
CABERGOLINE,3.796,1.612,3.206,1.589,5.229,5.951,-0.8792,1,451.6,2,7,71.68,0.3056,11
CAFFEINE,5.05,5.05,0.02318,0.02318,3.938,4.66,-0.03234,0,194.2,0,6,61.82,0,0
CALCIFEDIOL,0.731,0.731,6.303,6.303,4.925,6.147,0.001711,0,400.6,2,2,40.46,0.1935,6
CALCIPOTRIENE,1.745,1.745,4.561,4.561,4.869,5.918,-0.1502,1,412.6,3,3,60.69,0.1515,5
CALCITRIOL,1.11,1.11,5.306,5.306,4.949,5.902,-0.2128,1,416.6,3,3,60.69,0.1875,6
CALCIUM,5.699,6.095,-2.601,-4.307,3.957,2.417,-1.488,0,226.2,7,8,158.7,0.4286,6
CANDESARTAN CILEXETIL,0.03154,2.556,5.189,2.429,5.567,5.911,-0.7525,1,610.7,1,12,143.3,0.26,13
CANDICIDIN,1.022,4.205,-0.003725,1.769,4.946,3.046,-1.457,1,1109,11,20,364.2,0.1235,10
CAPECITABINE,2.447,2.447,1.302,1.302,4.453,4.541,-1.751,1,359.4,3,9,122.9,0.3077,8
CAPREOMYCIN,4.027,5.502,-2.484,0.6775,4.891,-0.09902,-1.021,1,668.7,15,22,375.9,0.25,12
CAPTOPRIL,4.387,3.676,0.6951,-2,4.106,3.375,-1.25,0,217.3,1,4,57.61,0.2857,4
CARBACHOL,6.987,2.946,0.5333,-1.743,3.999,4.206,-0.4655,0,147.2,1,4,52.32,0.4444,4
CARBAMAZEPINE,2.491,2.491,2.19,2.19,4.153,4.622,-0.06333,0,236.3,1,3,46.33,0.05,1
CARBENICILLIN,2.954,4.44,1.13,-2.439,4.708,1.224,-1.776,0,378.4,3,8,124,0.2143,6
CARBENICILLIN INDANYL,1.494,3.012,3.77,0.7208,5.535,3.086,-1.602,1,494.6,2,8,113,0.2051,8
CARBIDOPA,4.058,4.193,0.3306,-2.619,3.905,2.89,-0.9531,0,226.2,5,6,115.8,0.25,4
CARBI0XAMINE,3.093,1.667,3.151,1.636,4.818,5.472,0.7297,0,290.8,0,3,25.36,0.2857,6
CARBOPLATIN,2.767,2.767,0.03166,0.03166,3.913,3.494,-0.08216,0,337.2,0,4,52.6,0,0
CARBOPROST,2.6,3.219,3.191,-0.4669,4.474,4.799,-0.8802,1,368.5,4,5,97.99,0.4615,12
CARISOPRODOL,3.693,3.693,2.514,2.514,3.997,4.15,-0.18,0,260.3,2,6,90.65,0.5882,10
CARMUSTINE,4.27,4.27,1.53,1.53,3.949,4.141,-0.52,0,214.1,1,5,61.77,0.6364,7
CARPHENAZINE,2.264,2.316,3.672,2.761,5.177,6.968,0.5927,1,425.6,1,5,47.02,0.2424,8
CARPROFEN,1.742,2.526,4.211,1.324,5.449,4.163,-1.606,1,273.7,2,3,53.09,0.09524,2
CARTEOLOL,3.688,2.505,1.399,0.04942,4.401,4.659,0.1125,0,292.4,3,5,70.59,0.2727,6
CARVEDILOL,1.131,1.413,3.736,2.405,5.623,5.67,-0.1653,1,406.5,3,6,75.74,0.303,10
CASPOFUNGIN,3.064,4.353,0.03766,1.822,4.704,1.612,-1.3,1,1093,16,25,412,0.3,24
CEFACLOR,3.704,3.979,-1.79,-1.498,4.435,2.189,-1.753,0,367.8,3,7,112.7,0.1923,5
CEFADROXIL,3.793,4.402,-2.06,-2.242,4.623,2.258,-1.803,1,363.4,4,8,133,0.1852,5
CEFAMANDOLE NAFATE,2.404,4.331,0.3015,-1.638,4.926,2.768,-1.822,1,490.5,2,12,156.6,0.2778,10
CEFAZOLIN,3.073,4.572,-0.5799,-1.949,4.979,2.696,-1.898,1,454.5,2,12,156.1,0.25,8
CEFDINIR,2.566,4.086,-0.1182,-1.595,4.703,1.969,-1.837,1,395.4,4,10,158.2,0.2143,6
CEFDITOREN PIVOXIL,0.9004,2.831,3.089,1.984,5.51,3.569,-1.442,1,620.7,2,13,175.4,0.2955,13
CEFEPIME,2.957,3.719,0.7894,-1.451,4.838,2.867,-1.947,1,481.6,3,11,147.2,0.2286,8
CEFIXIME,2.834,4.425,-0.5193,-2.371,4.785,1.356,-2.007,1,453.5,4,12,184.5,0.2812,9
CEFME0XIME,2.511,4.642,-0.01261,-1.725,4.97,2.388,-2,1,511.6,3,14,190.8,0.25,9
CEFMETAZOLE,2.996,4.477,-0.6002,-1.887,4.688,2.536,-1.807,1,471.5,2,12,163.3,0.3438,11
CEFONICID,4.152,4.669,-0.8682,-2.62,4.968,2.72,-2.01,1,542.6,4,14,204.9,0.2632,10
CEFOPERAZONE,2.378,4.819,-0.6102,-0.9905,5.143,2.131,-1.94,1,645.7,4,17,220.3,0.25,12
CEFORANIDE,3.271,4.952,-3.288,-2.976,4.989,1.462,-2.156,1,519.6,4,13,193.6,0.2895,11
CEFOTAXIME,2.885,4.11,-0.04257,-1.104,4.633,1.997,-1.87,1,455.5,3,12,173.5,0.2812,9
CEFOTETAN,2.57,5.163,-0.8792,-1.827,5.003,0.6916,-1.865,1,575.6,4,15,219.9,0.2564,10
CEFOTIAM,3.123,4.767,-0.3995,-1.771,5.128,3.004,-2.074,1,525.6,3,13,172.5,0.2973,11
CEFOXITIN,2.966,3.97,0.04078,-1.123,4.664,2.105,-1.764,1,427.5,3,10,148.3,0.3,9
CEFPIRAMIDE,1.74,4.464,0.2996,-1.212,5.536,2.328,-1.712,1,612.6,5,15,212.8,0.2391,11
CEFPODOXIME PROXETIL,2.044,3.733,1.824,1.309,5.026,3.109,-1.421,1,557.6,2,14,181,0.359,14
CEFPROZIL,3.368,4.293,-1.582,-1.375,4.717,2.61,-1.673,1,389.4,4,8,133,0.2069,6
CEFTAZIDIME,1.5,3.951,1.139,-2.123,5.269,1.739,-2.157,1,547.6,4,13,188.4,0.25,10
CEFTIBUTEN,3.015,4.356,-0.3779,-2.51,4.776,1.601,-1.883,1,410.4,4,10,162.9,0.2414,7
CEFTIZOXIME,3.083,4.143,-0.06876,-1.702,4.642,2.181,-1.801,1,383.4,3,10,147.2,0.2222,6
CEFTRIAXONE,1.647,4.122,-0.09274,-1.185,5.202,2.439,-2.179,1,554.6,4,15,215.2,0.2308,9
CEFUROXIME,2.793,4.909,0.2602,-1.539,4.563,1.859,-1.725,1,424.4,3,12,173.8,0.2903,9
CEFUROXIME AXETIL,2.312,2.312,1.379,1.379,4.659,2.619,-1.275,1,510.5,2,14,189.1,0.3514,13
CELECOXIB,2.561,2.561,3.883,3.883,5.841,5.575,-1,0,381.4,1,5,77.98,0.1429,4
CEPHALEXIN,3.856,3.906,-1.769,-1.746,4.46,2.181,-1.753,1,347.4,3,7,112.7,0.1923,5
CEPHALOGLYCIN,3.606,4.029,-1.843,-1.243,4.576,2.031,-1.825,1,405.4,3,9,139,0.2667,8
CEPHALOTHIN,2.971,3.961,-0.41,-1.136,4.58,2.406,-1.671,1,396.4,2,8,113,0.2857,8
CEPHAPIRIN,2.535,3.902,0.1792,-0.9438,4.608,2.272,-1.625,1,423.5,2,9,125.9,0.3,9
CEPHRADINE,3.206,4.094,-1.078,-0.5975,4.316,2.706,-1.03,1,349.4,3,7,112.7,0.1923,5
CERIVASTATIN,0.8081,2.065,3.823,1.058,5.683,4.546,-1.179,1,459.6,3,6,99.88,0.3235,11
CERULETIDE,2.676,5.066,-0.9193,2.942,4.915,0.04796,-1.263,1,1352,17,34,551.4,0.4796,47
CETIRIZINE,3.006,1.89,1.7,1.5,4.746,4.881,-2.15,1,388.9,1,5,53.01,0.2759,8
CETRORELIX,2.044,3.42,0.5322,4.344,5.014,1.152,-1.259,1,1431,17,31,495.7,0.4673,50
CEVIMELINE,4.415,2.231,1.699,0.5744,4.298,4.965,0.6447,0,199.3,0,2,12.47,0,0
CHE0DIOL,1.71,2.074,4.215,1.085,4.661,4.223,-1.543,1,392.6,3,4,77.76,0.129,4
CHLOPHEDIA0L,3.416,1.727,3.14,1.804,4.824,5.173,0.5833,0,289.8,1,2,23.47,0.2381,5
CHLORAMBUCIL,3.005,2.46,3.214,0.7168,4.642,4.657,-1.154,0,304.2,1,3,40.54,0.4737,9
CHLORAMPHENICOL,3.89,3.89,1.045,1.045,3.94,3.95,-0.5232,0,323.1,3,7,115.4,0.35,7
CHLORAMPHENICOL PALMITATE,0.8511,0.8511,5.904,5.904,4.754,5.844,-0.3692,1,561.5,2,8,121.4,0.6216,23
CHLORAMPHENICOL SUCCINATE,3.92,4.136,1.029,-1.236,4.53,3.09,-1.358,0,423.2,3,10,158.8,0.4444,12
CHLORDIAZEPOXIDE,1.784,2.257,3.368,1.372,5.296,4.019,-0.1415,0,299.8,1,4,53.14,0.08696,2
CHLORHEXIDINE,3.2,4.532,2.286,1.737,5.207,3.83,-1.244,1,505.4,10,10,167.6,0.4857,17
